,VF_ENG,VF_SPA,OverallAccuracy,ACC_ENG,ACC_SPA,RT_ENG,RT_SPA,ENG_first,AXRT,AYRT,BXRT,BYRT,AXACC,AYACC,BXACC,BYACC,AX-ER,AY-ER,BX-ER,BY-ER,BSI RT,BSI ER,BSI combined,BSI composite,DELE_ACC,BSQ_L1S,BSQ_L2S,BSQ_OS,BSQ_CS,BSQ_US
27,53,47,0.84375,0.921875,0.765625,1101.542373,1318,1,320.911765,449.5,425.833333,211.142857,0.97142857,0.6,1,1,0.02857143,0.4,0.04545455,0.04545455,0.02703732,0.79591837,0.49368719,0.41147784,42,10,9,19,14,6
12,24,16,0.71875,0.890625,0.546875,898.8928571,1184.470588,0,1464.54286,2939,509.6,1375.46667,0.2,0.2,0.3,0.3,0.8,0.8,0.7,0.7,0.70445978,0.06666667,0.67428881,0.37047774,35,9,9,18,10,12
14,60,29,0.698412698,0.857142857,0.53968254,1251.566038,1381.625,0,384.91194,504.171429,243.042857,235.933333,0.97142857,0.7,1,1,0.02857143,0.3,0.04545455,0.04545455,0.34946946,0.73684211,0.45190126,0.59437168,29,5,12,17,10,5
16,60,34,0.859375,0.953125,0.765625,1020.327869,1298.387755,0,430.712121,602.333333,297.4,277,0.94285714,0.9,1,0.9,0.05714286,0.1,0.04545455,0.1,0.33891523,0.375,0.34537221,0.36018611,32,5,11,16,8,5
18,42,40,0.875,0.90625,0.84375,1063.534483,1342.615385,0,294.530909,355.133333,208.925,461.3,0.9,0.3,0.4,0.8,0.1,0.7,0.6,0.2,0.25920782,0.07692308,0.305939,0.19143104,33,13,13,26,15,10
22,52,26,0.8828125,0.9375,0.828125,1079.7,1158.75,0,336.710606,480.225,334.075,258.042857,0.95714286,0.8,1,1,0.04285714,0.2,0.04545455,0.04545455,0.17947931,0.62962963,0.25200876,0.44081919,33,11,8,19,8,6
26,51,34,0.921875,0.875,0.96875,1284.714286,1402.327869,0,502.637681,728,589,327.7,0.98571429,1,0.9,1,0.01428571,0.04545455,0.1,0.04545455,0.1055429,-0.375,0.24654668,-0.0642267,44,8,10,18,9,7
28,48,27,0.8828125,0.953125,0.8125,1014.492063,1128.035714,0,358.328814,406.0125,305.98,290.72,0.84285714,0.8,1,1,0.15714286,0.2,0.04545455,0.04545455,0.14049656,0.62962963,0.19342933,0.41152948,36,9,9,18,8,3
36,56,42,0.828125,0.8125,0.84375,1189.921569,1163.277778,0,359.771875,498.75,309.266667,289.3,0.91428571,1,1,1,0.08571429,0.04545455,0.04545455,0.04545455,0.23450424,0,0.24460263,0.11725212,45,11,11,22,13,11
38,52,35,0.8359375,0.75,0.921875,1481.836735,1310.568966,0,473.55,672.033333,534.1,686.871429,0.88571429,0.9,0.7,0.9,0.11428571,0.1,0.3,0.1,0.11435994,-0.5,0.06273123,-0.19282,41,9,12,21,13,5
40,42,26,0.6328125,0.484375,0.78125,1423.068966,1209.306122,0,297.097826,455.85,573.325,432.3,0.72857143,0.5,0.8,1,0.27142857,0.5,0.2,0.04545455,-0.1141448,0.42857143,0.07714844,0.1572133,29,9,9,18,9,9
42,49,31,0.6640625,0.4375,0.890625,1733.428571,1206.964912,0,297.097826,455.85,573.325,432.3,0.72857143,0.5,0.8,1,0.27142857,0.5,0.2,0.04545455,-0.1141448,0.42857143,0.07714844,0.1572133,28,8,12,20,8,6
44,44,20,0.7734375,0.625,0.921875,1314.435897,1191.152542,0,337.985075,540,312.2,280.3,0.95714286,0.9,1,1,0.04285714,0.1,0.04545455,0.04545455,0.26730814,0.375,0.29490889,0.32115407,36,10,11,21,10,4
46,35,34,0.828125,0.875,0.78125,1053.857143,1069.68,0,316.298485,413.55,192.885714,331.55,0.95714286,0.6,0.9,0.9,0.04285714,0.4,0.1,0.1,0.36387086,0.6,0.40361446,0.48193543,41,11,11,22,8,9
48,60,27,0.8046875,0.625,0.984375,1394.948718,1021.68254,0,1464.54286,2939,509.6,1375.46667,0.2,0.2,0.3,0.3,0.8,0.8,0.7,0.7,0.70445978,0.06666667,0.67428881,0.38556322,33,9,12,21,9,7
50,53,34,0.8515625,0.875,0.828125,1209.527273,1184.557692,0,770.650794,1363.66667,748.5,1255.6,0.91428571,0.9,0.7,1,0.08571429,0.1,0.3,0.04545455,0.29124911,-0.5,0.23506634,-0.1043754,35,8,9,17,9,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
